id,id_property,area,floor,char_view,char_general,char_bathroom,bed_linen,towels,dish_towels,beds_basic,beds_additional,broj_kreveta,broj_pom_kreveta,max_odraslih,min_ljudi,min_boravak
16402,6201,35.0,1,,"balcony,air_condition,sattv",,included,included,included,0,0,0,0,0,0,0
16577,6201,60.0,2,view_sea,air_condition,,included,included,included,2,0,0,0,0,0,0
16629,6307,35.0,1,,"balcony,air_condition,sattv",,included,included,included,2,0,0,0,0,0,0
16648,6307,35.0,2,,"balcony,air_condition,sattv",,included,included,included,2,0,0,0,0,0,0
16650,6307,35.0,2,,"balcony,air_condition,sattv,internet_wireless",,included,included,included,2,1,0,0,0,0,0
16655,6307,50.0,1,,"balcony,air_condition,sattv",,included,included,included,4,1,0,0,0,0,0
16659,6307,50.0,1,,"balcony,air_condition,sattv",,included,included,included,4,1,0,0,0,0,0
24997,6307,35.0,3,,"balcony,air_condition,sattv,internet_wireless,refrigerator,private_barbecue,dishes,cooking_electric,coffee,tea",,included,included,included,2,0,0,0,0,0,0
24998,6307,35.0,3,,"balcony,air_condition,sattv,internet_wireless,refrigerator,dishes,cooking_electric,coffee,tea",,included,included,included,2,0,0,0,0,0,0
24999,6307,50.0,1,,"balcony,air_condition,sattv,internet_wireless,refrigerator,private_barbecue,dishes,cooking_electric,coffee,tea",,included,included,included,4,1,0,0,0,0,0
19495,6307,35.0,3,,"balcony,air_condition,sattv,internet_wireless,refrigerator,private_barbecue,dishes,cooking_electric,coffee,tea",,included,included,included,2,0,0,0,0,0,0
19500,6307,50.0,1,,"balcony,air_condition,sattv,internet_wireless,refrigerator,dishes,cooking_electric,coffee,tea",,included,included,included,4,0,0,0,0,0,0
24995,6307,35.0,3,,"balcony,air_condition,sattv,internet_wireless,refrigerator,dishes,cooking_electric,coffee,tea",,included,included,included,2,0,0,0,0,0,0
24996,6307,50.0,1,,"balcony,air_condition,sattv,internet_wireless,refrigerator,private_barbecue,dishes,cooking_electric,coffee,tea",,included,included,included,4,1,0,0,0,0,0
16661,6321,50.0,1,,"balcony,air_condition,sattv,seaside",,included,included,included,4,0,0,0,0,0,0
16677,6321,60.0,0,,"terrace,air_condition,sattv",,included,included,included,6,0,0,0,0,0,0
16686,6321,50.0,1,,"balcony,air_condition,sattv,seaside",,included,included,included,4,0,0,0,0,0,0
24953,6321,54.0,0,,"balcony,air_condition,sattv,refrigerator,dishes,cooking_electric,coffee",,included,included,included,4,0,0,0,0,0,0
24976,6321,60.0,0,,"terrace,air_condition,sattv,internet_wireless,refrigerator,dishes,cooking_electric,coffee",,included,included,included,6,0,0,0,0,0,0
24977,6321,50.0,1,,"balcony,air_condition,sattv,internet_wireless,refrigerator,dishes,cooking_electric,coffee",,included,included,included,4,1,0,0,0,0,0
24978,6321,50.0,1,,"balcony,air_condition,sattv,internet_wireless,refrigerator,dishes,cooking_electric,coffee",,included,included,included,4,1,0,0,0,0,0
16689,6333,55.0,2,,"balcony,air_condition,sattv,seaside",,included,included,included,4,0,0,0,0,0,0
16698,6333,50.0,0,,"terrace,air_condition,sattv,internet_wireless,refrigerator,dishwasher,dishes,cooking_electric,microwave,coffee,tea",,included,included,included,4,1,0,0,0,0,0
16699,6333,45.0,1,,"balcony,air_condition,sattv,internet_wireless,refrigerator,dishes,cooking_electric,microwave,coffee,tea",,included,included,included,4,0,0,0,0,0,0
16745,6333,55.0,0,,"balcony,air_condition,sattv,seaside",,included,included,included,4,0,0,0,0,0,0
24792,6333,55.0,0,,"balcony,air_condition,sattv,internet_wireless,refrigerator,dishes,cooking_electric,microwave,coffee,tea",,included,included,included,4,1,0,0,0,0,0
25000,6333,55.0,0,,"balcony,air_condition,sattv,internet_wireless,refrigerator,dishes,cooking_electric,coffee",,included,included,included,4,1,0,0,0,0,0
25001,6333,45.0,0,,"balcony,air_condition,sattv,internet_wireless,refrigerator,dishes,cooking_electric,coffee",,included,included,included,4,0,0,0,0,0,0
16748,6362,45.0,1,,"balcony,air_condition,sattv",,included,included,included,4,1,0,0,0,0,0
16752,6362,30.0,1,,"balcony,air_condition,sattv",,included,included,included,2,1,0,0,0,0,0
16759,6362,30.0,1,,"balcony,air_condition,sattv,internet_wireless,refrigerator,dishes,cooking_electric,microwave,coffee",,included,included,included,2,0,0,0,0,0,0
16760,6362,45.0,1,,"balcony,air_condition,sattv,internet_wireless,refrigerator,dishes,cooking_electric,microwave,coffee",,included,included,included,4,0,0,0,0,0,0
16767,6362,45.0,0,,"terrace,air_condition,sattv,internet_wireless,refrigerator,dishes,cooking_electric,microwave,coffee",,included,included,included,4,1,0,0,0,0,0
16768,6362,30.0,1,,"balcony,air_condition,sattv",,included,included,included,2,0,0,0,0,0,0
16769,6362,45.0,2,,"balcony,air_condition,sattv,seaside",,included,included,included,4,1,0,0,0,0,0
16770,6362,65.0,2,,"balcony,air_condition,sattv,seaside",,included,included,included,4,1,0,0,0,0,0
24778,6362,65.0,0,,"balcony,air_condition,sattv,internet_wireless,refrigerator,dishes,cooking_electric,microwave,coffee",,included,included,included,4,0,0,0,0,0,0
24888,6362,65.0,0,,"balcony,air_condition,sattv,internet_wireless,refrigerator,dishes,cooking_electric,microwave,coffee",,included,included,included,4,1,0,0,0,0,0
24889,6362,30.0,1,,"balcony,air_condition,sattv,internet_wireless,refrigerator,dishes,cooking_electric,coffee",,included,included,included,2,0,0,0,0,0,0
24890,6362,45.0,1,,"balcony,air_condition,sattv,internet_wireless,refrigerator,dishes,cooking_electric,coffee",,included,included,included,4,1,0,0,0,0,0
16918,6440,50.0,1,,"balcony,air_condition,sattv,seaside",,included,included,included,4,1,0,0,0,0,0
16919,6440,50.0,1,,"balcony,air_condition,sattv,seaside",,included,included,included,5,1,0,0,0,0,0
16920,6440,50.0,0,,"terrace,air_condition,sattv,seaside",,included,included,included,4,0,0,0,0,0,0
16921,6440,45.0,1,view_sea,"balcony,air_condition,sattv,seaside",,included,included,included,4,1,0,0,0,0,0
16927,6440,22.0,0,,"terrace,air_condition,sattv",,included,included,included,2,0,0,0,0,0,0
16928,6440,30.0,1,,"balcony,air_condition,sattv,seaside",,included,included,included,2,1,0,0,0,0,0
16929,6440,35.0,0,,"terrace,air_condition,sattv",,included,included,included,2,2,0,0,0,0,0
16930,6440,80.0,1,view_sea,"balcony,air_condition,sattv,seaside",,included,included,included,6,1,0,0,0,0,0
16933,6440,100.0,1,,"balcony,air_condition,sattv,seaside",,included,included,included,6,2,0,0,0,0,0
17986,6440,35.0,1,,"terrace,air_condition,sattv",,included,included,included,2,2,0,0,0,0,0
24805,6440,45.0,0,,"balcony,air_condition,sattv,refrigerator,private_barbecue,dishes,cooking_electric,coffee",,included,included,included,4,1,0,0,0,0,0
24807,6440,48.0,0,,"balcony,air_condition,sattv,refrigerator,private_barbecue,dishes,cooking_electric,microwave,coffee",,included,included,included,6,0,0,0,0,0,0
24809,6440,50.0,0,,"balcony,air_condition,sattv,internet_wireless,refrigerator,dishes,cooking_electric,microwave,coffee,tea",,included,included,included,6,0,0,0,0,0,0
25039,6440,60.0,0,,"balcony,air_condition,sattv,internet_wireless,refrigerator,dishwasher,dishes,cooking_electric,microwave,coffee",,included,included,included,8,0,0,0,0,0,0
24812,6440,50.0,0,,"terrace,air_condition,sattv,internet_wireless,refrigerator,dishes,cooking_electric,microwave,coffee,tea",,included,included,included,6,0,0,0,0,0,0
24837,6440,80.0,0,,"balcony,air_condition,sattv,internet_wireless,refrigerator,dishes,cooking_electric,microwave,coffee,tea",,included,included,included,6,0,0,0,0,0,0
24929,6440,22.0,0,,"terrace,air_condition,sattv,refrigerator,dishes,cooking_electric,coffee",,included,included,included,2,0,0,0,0,0,0
25026,6440,30.0,0,,"balcony,air_condition,sattv,refrigerator,dishes,cooking_electric,coffee",,included,included,included,2,1,0,0,0,0,0
25027,6440,18.0,0,,"air_condition,sattv,internet_wireless,refrigerator,dishes,cooking_electric,coffee",,included,included,included,3,0,0,0,0,0,0
25028,6440,35.0,0,,"terrace,air_condition,sattv,internet_wireless,refrigerator,dishes,cooking_electric,microwave,coffee",,included,included,included,2,2,0,0,0,0,0
25032,6440,50.0,0,,"balcony,air_condition,sattv,internet_wireless,refrigerator,dishes,cooking_electric,microwave,coffee",,included,included,included,4,1,0,0,0,0,0
25036,6440,45.0,0,,"balcony,air_condition,sattv,refrigerator,dishes,cooking_electric,coffee,tea",,included,included,included,4,1,0,0,0,0,0
25037,6440,35.0,0,,"terrace,air_condition,sattv,internet_wireless,refrigerator,private_barbecue,dishes,cooking_electric,coffee",,included,included,included,2,2,0,0,0,0,0
25038,6440,50.0,0,,"terrace,air_condition,sattv,internet_wireless,refrigerator,dishes,cooking_gas,coffee",,included,included,included,4,0,0,0,0,0,0
25040,6440,32.0,0,,"air_condition,sattv,internet_wireless,refrigerator,dishes,cooking_electric,coffee",,included,included,included,2,1,0,0,0,0,0
25041,6440,32.0,0,,"terrace,air_condition,sattv,internet_wireless,refrigerator,private_barbecue,outdoor_dining_area,dishes,cooking_electric,coffee",,included,included,included,2,1,0,0,0,0,0
25042,6440,100.0,0,,"balcony,air_condition,sattv,internet_wireless,refrigerator,dishes,cooking_electric,microwave,coffee",,included,included,included,7,0,0,0,0,0,0
17431,6644,50.0,0,,"terrace,air_condition,washing_machine,iron,hairdryer,sattv,safe,internet_wireless,refrigerator,dishwasher,private_barbecue,outdoor_dining_area,outside_shower,dishes,microwave,coffee,tea,stove,toaster",,included,included,included,2,2,0,0,0,0,0
17435,6648,25.0,1,,"hairdryer,tv,sattv,internet_wireless,refrigerator,dishes,cooking_electric,coffee,tea",,included,included,included,2,0,0,0,0,0,0
17436,6648,60.0,1,,"balcony,air_condition,hairdryer,sattv,internet_wireless,refrigerator,dishes,cooking_electric,microwave,coffee,tea",,included,included,included,4,0,0,0,0,0,0
17440,6650,50.0,0,,"air_condition,washing_machine,iron,hairdryer,sattv,internet_wireless,refrigerator,dishwasher,dishes,cooking_electric,coffee,tea,toaster",,included,included,included,4,0,0,0,0,0,0
17441,6650,50.0,1,,"balcony,air_condition,washing_machine,iron,hairdryer,sattv,safe,internet_wireless,refrigerator,dishwasher,dishes,cooking_electric,coffee,tea,toaster",,included,included,included,4,0,0,0,0,0,0
17444,6655,43.0,0,,"air_condition,hairdryer,sattv,internet_wireless,refrigerator,dishes,microwave,coffee,tea,stove,toaster",,included,included,included,2,2,0,0,0,0,0
17448,6655,43.0,0,,"air_condition,hairdryer,sattv,internet_wireless,refrigerator,dishes,microwave,coffee,tea,stove,toaster",,included,included,included,2,2,0,0,0,0,0
17451,6657,35.0,0,view_street_quiet,"terrace,sattv",,included,included,included,2,2,0,0,0,0,0
17454,6659,28.0,0,,"air_condition,iron,hairdryer,sattv,internet_wireless,refrigerator,outdoor_dining_area,outside_shower,dishes,cooking_electric,coffee,tea,toaster",,included,included,included,2,1,0,0,0,0,0
17455,6659,45.0,0,,"air_condition,iron,hairdryer,sattv,internet_wireless,refrigerator,dishwasher,outside_shower,dishes,cooking_electric,coffee,tea,toaster",,included,included,included,4,1,0,0,0,0,0
17456,6661,30.0,1,,"balcony,air_condition,iron,hairdryer,sattv,internet_wireless,refrigerator,private_barbecue,dishes,cooking_electric,microwave,coffee,tea",,included,included,included,2,0,0,0,0,0,0
17457,6661,40.0,2,,"balcony,air_condition,iron,hairdryer,sattv,internet_wireless,refrigerator,private_barbecue,dishes,cooking_electric,microwave,coffee,tea",,included,included,included,2,2,0,0,0,0,0
17458,6662,42.0,0,,"air_condition,washing_machine,iron,hairdryer,sattv,internet_wireless,refrigerator,dishwasher,dishes,cooking_electric,microwave,coffee,tea,toaster",,included,included,included,4,1,0,0,0,0,0
17461,6664,55.0,0,,"air_condition,sattv,internet_wireless,refrigerator,dishwasher,dishes,cooking_electric,microwave,coffee,tea",,included,included,included,4,1,0,0,0,0,0
17641,6664,55.0,0,view_sea,"terrace,sattv",,included,included,included,4,1,0,0,0,0,0
22143,6664,75.0,2,"view_sea,view_street_quiet","balcony,air_condition,sattv,outdoor_dining_area",,included,included,included,6,1,0,0,0,0,0
17462,6665,50.0,1,,"balcony,air_condition,sattv,internet_wireless,refrigerator,dishes,cooking_electric,microwave,coffee,tea",,included,included,included,2,1,0,0,0,0,0
17463,6665,60.0,1,,"balcony,air_condition,sattv,internet_wireless,refrigerator,dishes,microwave,coffee,tea,stove",,included,included,included,4,0,0,0,0,0,0
22351,6673,40.0,1,,"balcony,air_condition,hairdryer,sattv,safe,internet_wireless,refrigerator,private_barbecue,outdoor_dining_area,outside_shower,dishes,cooking_gas,cooking_electric,coffee,toaster",,included,included,included,2,1,0,0,0,0,0
22352,6673,40.0,1,,"balcony,air_condition,hairdryer,sattv,safe,internet_wireless,refrigerator,private_barbecue,outside_shower,dishes,cooking_gas,cooking_electric,coffee,toaster",,included,included,included,2,1,0,0,0,0,0
22353,6673,40.0,2,,"balcony,air_condition,hairdryer,sattv,safe,internet_wireless,refrigerator,private_barbecue,outside_shower,dishes,cooking_gas,cooking_electric,tea,toaster",,included,included,included,2,2,0,0,0,0,0
22354,6673,40.0,2,,"balcony,air_condition,hairdryer,sattv,safe,internet_wireless,refrigerator,private_barbecue,outside_shower,dishes,cooking_gas,cooking_electric,coffee,toaster",,included,included,included,2,1,0,0,0,0,0
22355,6673,65.0,0,,"terrace,air_condition,hairdryer,sattv,safe,internet_wireless,refrigerator,dishwasher,private_barbecue,outdoor_dining_area,outside_shower,dishes,cooking_gas,cooking_electric,microwave,coffee,tea,toaster",,included,included,included,4,1,0,0,0,0,0
22356,6673,42.0,1,,"balcony,air_condition,hairdryer,sattv,safe,internet_wireless,refrigerator,private_barbecue,outdoor_dining_area,outside_shower,dishes,cooking_gas,cooking_electric,microwave,coffee,toaster",,included,included,included,2,1,0,0,0,0,0
22357,6673,61.0,1,,"balcony,air_condition,hairdryer,sattv,safe,internet_wireless,refrigerator,private_barbecue,outside_shower,dishes,cooking_gas,cooking_electric,microwave,coffee,toaster",,included,included,included,4,1,0,0,0,0,0
