id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,category,,,,,,,,,,,,id_region,id_subregion,city
2160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,KVARNER,CRIKVENICA_VINODOL,Dramalj
2161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,KVARNER,CRIKVENICA_VINODOL,Crikvenica
2166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,KVARNER,CRIKVENICA_VINODOL,Crikvenica
2173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,KVARNER,CRIKVENICA_VINODOL,Crikvenica
2175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,KVARNER,CRIKVENICA_VINODOL,Crikvenica
2178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,KVARNER,CRIKVENICA_VINODOL,Selce
2187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,KVARNER,CRIKVENICA_VINODOL,Crikvenica
2189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,KVARNER,CRIKVENICA_VINODOL,Crikvenica
2211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,KVARNER,CRIKVENICA_VINODOL,Dramalj
2224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,KVARNER,CRIKVENICA_VINODOL,Crikvenica
2242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,KVARNER,CRIKVENICA_VINODOL,Crikvenica
2246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,KVARNER,CRIKVENICA_VINODOL,Dramalj
2261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,KVARNER,CRIKVENICA_VINODOL,Crikvenica
2262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,KVARNER,CRIKVENICA_VINODOL,Dramalj
2281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,KVARNER,CRIKVENICA_VINODOL,Crikvenica
2291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,KVARNER,CRIKVENICA_VINODOL,Crikvenica
2293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,KVARNER,CRIKVENICA_VINODOL,Crikvenica
2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,KVARNER,CRIKVENICA_VINODOL,Crikvenica
2301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,KVARNER,CRIKVENICA_VINODOL,Crikvenica
2313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,KVARNER,CRIKVENICA_VINODOL,Crikvenica
2339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,KVARNER,CRIKVENICA_VINODOL,Crikvenica
2341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,KVARNER,CRIKVENICA_VINODOL,Crikvenica
2342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,KVARNER,CRIKVENICA_VINODOL,Crikvenica
